"Штрих-код";"Кількість";"Ціна_роздрібна";"Ціна_опту";"Назва_позиції"
"4825020801538";40;1200;820;"Контейнер для зберігання косметичних засобів з кришкою великий  код. 0153 (арт. J06-6661)"
"4825020801545";69;450;315;"Контейнер для зберігання косметичних засобів з кришкою малий  код. 0154 (арт. J06-6662)"
"4825020800227";2;200;145;"Контейнер для зберігання яєць  (26.5*20*19.5) PET пластик код. 0022 (арт. Y146-PET)"
"4823603102447";90;55;30;"Контейнер для зубочисток пластик код. 0244 (арт. 36031-2001)"
"4823603102454";37;70;39;"Контейнер для зубочисток пластик код. 0245 (арт. 36031-2003)"
"4825020801149";82;270;165;"Контейнер для косметичних засобів з кришкою   код. 0114 (арт. Y157-YY-62)"
"4825020801156";26;280;200;"Контейнер для косметичних засобів що обертається   код. 0115 (арт. H87-1239)"
"4825020800876";19;120;78;"Контейнер для сміття  качка PET (14.7*14.2*21) PET пластик код. 0087 (арт. J06-6335 )"
"4825020800883";6;130;84;"Контейнер для сміття бджілка PET (14.7*20.5*21) PET пластик код. 0088 (арт. J06-6336)"
"4825020800678";9;190;109;"Контейнер для сміття дракон PET (16*15*23.5) PET пластик код. 0067 (арт. X10-XQ-897 )"
"4825020800654";4;190;114;"Контейнер для сміття олень PET (14.5*14.5*24) PET пластик код. 0065 (арт. X10-XQ-898 )"
"4825020801637";74;300;200;"Контейнер для холодильника дренаж та клапан  5  PET PET пластик код. 0163 (арт. 2218)"
"4825020801644";2;350;250;"Контейнер для холодильника дренаж та клапан  6  PET PET пластик код. 0164 (арт. 2219)"
"4825020801651";51;380;300;"Контейнер для холодильника дренаж та клапан  7  PET PET пластик код. 0165 (арт. 2220)"
"4825020801675";56;420;350;"Контейнер для холодильника дренаж та клапан  9  PET  PET пластик код. 0167 (арт. 2222)"
"4825020802672";5;500;324;"Контейнери (набір) пластик код. 0267 (арт. 50208-M56-6241-4)"
"4825020801569";1;250;155;"Корзина велика квадрат   PET (35*18*35.1) PET пластик  код. 0156 (арт. C43-3012 )"
"4825020800739";26;250;144;"Корзина для зберігання велика PET  (36*28*19) PET пластик код. 0073 (арт. X10-XQ-322 )"
"4825020800715";61;160;106;"Корзина для зберігання маленька PET (28*22*14.5) PET пластик код. 0071 (арт. X10-XQ-320 )"
"4825020800722";51;200;120;"Корзина для зберігання середня PET (32*22*16) PET пластик код. 0072 (арт. X10-XQ-321 )"
"4825020801460";1;160;94;"Корзина з гумовими ручками середня PET (30*17*34) PET пластик  код. 0146 (арт. W16-2488)"
"4825020801446";157;60;35;"Корзина середня 1 PET (24.5*17*13) PET пластик  код. 0144 (арт. Y03-322)"
"4825020801453";93;100;54;"Корзина середня 2 PET (29*20*15) PET пластик  код. 0145 (арт. Y03-323 )"
